Psalm	Sources	Type	Title	First Line	Meter	Tune
65D	Psalter Hymnal, The (1912)	Text	Before Thee, LORD	Before Thee, LORD a people waits	8.8.6.8.8.6	N/A
66A	Sing Psalms (2003)	Text	Shout Loud with Joy to God	Shout loud with joy to God	8.6.8.6 CM	N/A
66B	Psalter Hymnal, The (1912)|Wilbur, Gregory D.	Music	Come, All You People, Praise Our God	Come, all you people, praise our God	IRREGULAR	PRAISE OUR GOD
66C	Auber, Harriet	Text	O All Ye Lands, Rejoice in God	O all ye lands, rejoice in God	8.6.8.6 CM	N/A
66D	Book of Psalms for Worship, The (2010)|Vaughan Williams, Ralph	Music	O All You Peoples, Bless Our God	O all you peoples, bless our God	8.6.8.6 CMD	FOREST GREEN
67A	Sing Psalms (2003)	Text	God Be Merciful and Bless Us	God be merciful and bless us	8.7.8.7	N/A
67B	Lyte, Henry Francis|The Corner Room	Music	May God be Gracious To Us	May God be gracious to us and bless us	IRREGULAR	N/A
67C	Kocher, Conrad	Music	God of Mercy, God of Grace	God of mercy, God of grace, show the brightness of Your face	7.7.7.7.7.7	DIX
68A	Scottish Metrical Psalter (1641)	Text	Let God Arise	Let God arise, and scattered	8.6.8.6 CM	N/A
68B	Watts, Isaac|Wilbur, Gregory D.	Music	Let God Arise In All His Might	Let God arise in all His might	8.8.8.8 LMD	PSALM 68
68C	Auber, Harriet	Text	Let God Arise	Let God arise in all His might	8.8.8.8 LM	N/A
68D	Monk, William H.|Psalter Hymnal, The (1912)|Teschner, Melchior	Music	O LORD, You Have Ascended	O LORD, You have ascended on high in might to reign	7.6.7.6 D	ST. THEODULPH
69A	Purdy, Charles H.|Sayers, James	Music	Save Me, O God, I Sink Into the Depths	Save me, O God, I sink ino the depths	10.4.10.4.10.10	SANDON
69B	Dudley-Smith, Timothy|Ley, Henry G.	Music	Help Me, O God, and Hear My Cry	Help me, O God, and hear my cry	8.8.8.8.8.8	AD ASTRA
70A	Geistreiches Gesangbuch (Halle, ed. Johann A. Freylinghausen)|Spurgeon, Charles H.	Text	Make Haste, O God	Make haste, O God, my soul to bless!	8.8.8.8 LM	N/A
70B	Mendelssohn-Bartholdy, Felix|Trinity Psalter Hymnal OPC/URCNA, 2018	Music	Make Haste, O God to Save Me	Make haste, O God to save me	7.6.7.6 D	MUNICH
70C	Searles, Matt	Music	LORD, Make Haste to Save Me	LORD, make haste to save me	6.5.6.5 REFRAIN	NOEL NOUVELET
71A	Watts, Isaac	Text	My God, My Everlasting Hope	My God, my everlasting hope	8.6.8.6 CM	N/A
71B	Psalter Hymnal, The (1912)	Text	In Thee, O LORD, I Put My Trust	In Thee, O LORD, I put my trust	8.6.8.6 CM	N/A
71C	Eiderkin, Dale R.|Psalter Hymnal, The (1912)	Music	God of My Youth, Forsake Me Not	God of my youth, forsake me not when I am old and grey	8.6.8.6 CMD	STAR OF THE COUNTY DOWN
71D	Anderson, Fred R.|Scottish Metrical Psalter (1615)	Music	To You, O LORD, I Come for Help	To You, O LORD I come for help	8.6.8.6 CM	DUNDEE
71E	Watts, Isaac	Text	My Savior, My Almighty Friend	My Savior, my almighty friend	8.6.8.6 CM	N/A
72A	Montgomery, James	Music	Hail to the LORD's Anointed	Hail to the LORD's Anointed, great David's greater Son!	7.6.7.6 D	ES FLOG EIN KLEINS WALDVÖGELEIN
72B	Searles, Matt	Music	Let Your Kingdom Come	Holy King, you are righteous and true	IRREGULAR	N/A
72C	Pearson, Stephen	Music	Sing Praise to Our God	May your King judge the people in righteousness	IRREGULAR	N/A
73A	Lyte, Henry Francis	Text	LORD, Thou Art Good	LORD, Thou art good: I know it well	8.8.8.8 LM	N/A
73B	Psalter Hymnal, The (1912)|Wilbur, Gregory D.	Music	O God, How Good You Are	O God, how good You are to all the pure in heart	IRREGULAR	N/A
73C	Hughes, John|Sing Psalms (2003)	Music	Surely, God Is Good to Isr'el	Surely God is good to Isr'el	8.7.8.7.8.7 REPEATS	RHONDDA
74A	Lyte, Henry Francis	Text	Of Every Earthly Stay Bereft	Of every earthly stay bereft	8.6.8.6 CM	N/A
74B	Carlill, Adam|Geistliche Volkslieder (Paderborn)	Music	Why, Our God have You Rejected	Why, our God have You rejected, poured Your wrath on Your sheep	8.7.8.7 D	O MEIN JESU, ICH MUSS STERBEN
74C	Barnby, Joseph	Music	O God, Why Have You Cast Us Off	O God, why have You cast us off forever	11.10.11.10	PERFECT LOVE
75A	Regier, David P.	Music	Our Thanks We Offer, O God	Our thanks we offer, O God	14.14.4.7.8	LOBE DEN HERREN
75B	Leckebusch, Martin	Music	Who Else But You	Great God whose presence we have known	8.6.8.6 CM	LAND OF REST
75C	Auber, Harriet	Text	That Thou, O LORD, are Ever Night	That Thou, O LORD, are ever night	8.8.6.8.8.6	N/A
75D	Sing Psalms (2003)	Text	We Give You Thanks	We give You thanks, O God	6.6.8.6 SM	N/A
76A	Psalter Hymnal, The (1912)	Music	Among His People, God Is Known	Among His people God is Known	8.8.8.8 LM	DANIEL
76B	Book of Psalms for Worship, The (2010)|Smart, Henry	Music	God Is Truly Known In Judah	God is truly known in Judah	8.7.8.7.8.7	REGENT SQUARE
77A	Southern Harmony, The (William Walker)|Trinity Psalter Hymnal OPC/URCNA, 2018	Music	I Cried Aloud for God to Help	I cried aloud for God to help	8.6.8.6 CMD	RESIGNATION
77B	Psalter Hymnal, The (1912)	Text	To God Will I Direct My Prayer	To God will I direct my prayer	8.8.8.8 LM	N/A
77C	Breland, Bethany	Music	I Will Remember	To You LORD I cried aloud	7.7.7.8.7 REFRAIN	N/A
78A	Sing Psalms (2003)	Text	O My People Hear My Teaching	O my people hear my teaching	8.7.8.7.7.7	N/A
78B	Patterson, Ben|Tennent, Julie|Tennent, Timothy	Music	Come Listen, O My People	Come listen, O my people, to the teaching we've been told	8.6.8.6 CMD	NEW PSALM 78
78C	Auber, Harriet	Music	O Praise Our Great, and Gracious LORD	O praise our great and gracious LORD	8.7.8.7	ST. COLUMBA
78D	Psalter Hymnal, The (1912)	Text	O Come, My People, to My Law	O come, my people, to my law	8.6.8.6 CM	N/A
79A	Lyte, Henry Francis	Text	Low in the Dust	Low in the dust, O LORD, we lie	8.8.8.8 LM	N/A
79B	Goode, William	Text	Thou Gracious God	Thou gracious God, and kind	6.6.8.6 SM	N/A
79C	Sing Psalms (2003)|Southern Harmony, The (William Walker)	Music	LORD, the Nations Have Invaded	LORD, the nations have invaded	8.7.8.7 D	RESTORATION
79D	Psalter Hymnal, The (1912)	Text	Remember Not, O God	Remember not, O God	6.6.8.6 SM	N/A
79E	Psalter Hymnal, The (1912)|Rowlands, William Penfro	Music	In Your Heritage	In Your heritage the nations now	8.7.8.7 D	BLAEWERN
80A	Anderson, Fred R.|Anderson, Fred R.|Messiter, Arthur H.	Music	O Hear Our Cry, O LORD	O hear our cry, O LORD, now hear us when we pray	6.6.8.6 SM REFRAIN	MARION
80B	Sing Psalms (2003)|United States' Sacred Harmony (Amos Pilsbury)	Music	Hear, O Israel's Shepherd, Hear Us	Hear, O Israel's Shepherd, hear us	8.7.8.7	CHARLESTOWN
81A	Auber, Harriet|Haweis, Thomas	Music	O God, Our Strength	O God, our strength, to You our song with grateful hearts we raise	8.6.8.6 CM	RICHMOND
82A	Psalter Hymnal, The (1912)|Webb, Philip	Music	Where'er His Creatures Gather	Where'er His creatures gather	7.6.7.6 D	N/A
83A	Sing Psalms (2003)|Taylor, Cyril V.	Music	O My God, Do Not Keep Silent	O my God, de not keep silent	8.7.8.7 D	ABBOT'S LEIGH
83B	Lyte, Henry Francis	Text	Assert Thy Claims, O God!	Assert Thy claims, O God!	6.6.8.6 SM	N/A
83C	Psalter Hymnal, The (1912)|Sullivan, Arthur	Music	O God No Longer Hold Your Peace	O God no longer hold Your peace	8.6.8.6 CMD	NOEL
83D	Watts, Isaac	Text	And Will the God of Grace	And will the God of grace	6.6.8.6 SM	N/A
84A	Duba, Arlo D.|Hopson, Hal H.	Text	How Lovely LORD, How Lovely	How lovely LORD, how lovely	7.6.7.6 D	MERLE'S TUNE
84B	Silver, Jason	Music	How Lovely Is Your Dwelling Place	How lovely is Your dwelling place, O LORD of Hosts!	IRREGULAR	N/A
84C	Psalter Hymnal, The (1912)	Text	LORD God of Hosts	LORD God of Hosts, in mercy	7.6.7.6 D	N/A
84D	Sing Psalms (2003)	Text	How Delightful are Your Dwellings	How delightful are your dwellings	8.7.8.7.7.7	N/A
84E	Christian Lyre, The (Joshua Leavitt)|Webb, Philip	Music	How Delightful Are Your Dwellings	How delightful are Your dwellings	8.7.8.7 D	PLEADING SAVIOR
84F	Watts, Isaac	Text	My Soul, How Lovely is the Place	My Soul, How Lovely is the Place	8.6.8.6 CM	N/A
85A	Gillard, Richard|Sing Psalms (2003)|United States' Sacred Harmony (Amos Pilsbury)	Music	In Times Past, LORD, You Showed Favor	In times past, LORD, You showed favor	8.7.8.7	(THE) SERVANT SONG
85B	Battles, Dustin|Kreider, Dan|Vaughan Williams, Ralph	Music	In Times of Old	In times of old You showed Your favor LORD	10.10.10.10	SINE NOMINE
86A	English Metrical Psalter (A New Metrical Psalter, 1875)	Text	Thine Ear, O LORD, to Me Incline	Thine ear, O LORD, to me incline	8.8.8.8 LM	N/A
86B	Knapp, William|Trinity Psalter Hymnal OPC/URCNA, 2018	Music	Hear Me, O LORD, and Answer Me	Hear me, O LORD, and answer me	8.8.8.8 LM	WAREHAM
86C	Wilbur, Gregory D.	Music	Hear My Prayer	Hear my prayer, O LORD and answer me	IRREGULAR	HEAR MY PRAYER
87A	Lyte, Henry Francis	Text	The Church of God Below	The Church of God below	6.6.8.6 SM	N/A
87B	Leckebusch, Martin	Music	City of God	Nowhere can rival the city of God	10.10.10.10	SLANE
87C	Richardson, Paul A.|Sing Psalms (2003)	Music	On Jerus'lem's Holy Mountain	On Jerus'lem's holy mountain	8.7.8.7	STUART
88A	Lyte, Henry Francis	Text	LORD God of My Salvation	LORD God of my salvation	7.6.7.6.7.6	N/A
88B	Sacred Harp, The|Sing Psalms (2003)|White, B.F.	Music	LORD, You are the God Who Saves Me	LORD, You are the God who saves me	8.7.8.7 D	BEACH SPRING
88C	Sczebel, Joel|Searles, Matt	Music	Darkness	Savior God, I cry to You	IRREGULAR	N/A
88D	Psalter Hymnal, The (1912)	Text	LORD, the God of My Salvation	LORD, the God of my salvation	8.7.8.7 D	N/A
89A	Book of Psalms for Worship, The (2010)|Finney, John W.	Music	The Lovingkindness of the LORD Forever I will Sing	The lovingkindness of the LORD forever I will sing	8.6.8.6 CMD REFRAIN	N/A
89B	Watts, Isaac	Text	The Faithfulness of God	My never-ceasing songs shall show	8.6.8.6 CM	N/A
89C	Wilbur, Gregory D.	Music	We Will Sing Your Love Forever	We will sing Your love forever	8.7.8.7.7.7.7.7	EATHAN'S SONG
90A	Kreider, Dan|Regier, David P.	Music	You Have Been Our Dwelling, LORD	You have been our dwelling, LORD	6.5.6.5 D REFRAIN	GENERATIONS
90B	Lyte, Henry Francis	Text	Thou are, Thou were, O LORD	Thou are, Thou were, O LORD	6.8.8.6	N/A
90C	Barnard, Shane	Music	Satisfy Us with Your Love	You have been our dwelling place	IRREGULAR	N/A
90D	Clow, Lisa|Condy (Hudson), Lacy	Music	From Everlasting	O God, before the mountains were brought forth	IRREGULAR	N/A
91A	Tallis, Thomas|Watts, Isaac	Music	He That Hath Made His Refuge God	He that hath made his refuge God	8.8.8.8 LM	TALLIS' CANON
91B	Chester, Tim|Condy (Hudson), Lacy|Fuller, McKenzie|Kauflin, Bob|Stiff, Nathan|Zimmer, David	Music	Christ Will be My Hideaway	I will dwell within the shelter	IRREGULAR	N/A
91C	Lyte, Henry Francis	Text	There Is a Safe and Secret Place	There is a safe and secret place	8.6.8.6 CM	N/A
91D	Book of Psalms for Singing, The (1973)|Prichard, Rowland H.	Music	Who With God Most High Finds Shelter	Who with God most High finds shelter	8.7.8.7 D	HYFRYDOL
91E	Psalter Hymnal, The (1912)	Text	The Man Who Once Has Found Abode	The man who once has found abode	8.8.8.8 LM	N/A
91F	Carlill, Adam|Dykes, John B.	Music	The One Who Dwells Beneath the Shade	The one who dwells beneath the shade of God Almighty	8.8.8.8.8.8	MELITA
91G	English Metrical Psalter (A New Metrical Psalter, 1875)	Text	He Whom Within His Secret Place	He whom within His secret place	8.6.8.6 CM	N/A
92A	Hymns and Sacred Poems (Dublin)|Idle, Christopher	Music	Make Music to the LORD	Make music to the LORD most High	8.6.8.6 CM	IRISH
92B	Finney, John W.|New Version of the Psalms of David, A (Nahum Tate, Nicholas Brady, rev. 1698)|Scottish Metrical Psalter (1650)	Music	How Good and Pleasant Must it Be	How good and pleasant must it be	8.6.8.6 CM REFRAIN	N/A
93A	Sing Psalms (2003)	Text	The LORD Is King	The LORD is king; His throne endures	8.6.8.6 CM	N/A
93B	Gläser, Carl G.|Mason, Lowell|Regier, David P.	Music	The LORD Is Robed in Majesty	The LORD is robed in majesty	8.6.8.6 CM	AZMON
93C	Searles, Matt	Music	Mighty	LORD, you reign in glor'ous light	IRREGULAR	N/A
94A	Columbian Harmony (William Moore)|Psalter Hymnal, The (1912)	Music	O LORD, O Judge of All the Earth	O LORD, O Judge of all the earth	8.8.8.8 LM	BOURBON
94B	Book of Psalms for Worship, The (2010)|Sacred Harp, The|White, B.F.	Music	God the LORD, from Whom Is Vengeance	God, the LORD, from whom is vengeance	8.7.8.7 D	BEACH SPRING
95A	Rowan, William|Webb, Philip	Music	Come Before Him	Come now let us joyf'lly; sing unto the LORD	11.11.11.11	APPALACHIAN FALL
95B	Doherty, Dave	Music	Come, Let Us Worship and Bow Down	Come, let us worship and bow down	IRREGULAR	N/A
96A	Book of Psalms for Worship, The (2010)|Holden, Oliver	Music	O Sing a New Song to the LORD	O sing a new song to the LORD	8.6.8.6 CM REPEATS	CORONATION
96B	Prichard, Rowland H.|Regier, David P.	Music	Sing Unto the LORD a New Song	Sing unto the LORD a new song	8.7.8.7 D	HYFRYDOL
97A	Watts, Isaac	Text	He Reigns! The LORD, the Savior Reigns	He reigns! The LORD, the Savior reigns	8.8.8.8 LM	N/A
97B	Steele, Anne	Text	The LORD, the God of Glory Reigns	The LORD, the God of glory reigns	8.8.8.8 LM	N/A
97C	Sing Psalms (2003)	Music	The LORD Reigns Let the Earth Be Glad!	The LORD reigns, let the earth be glad!	8.8.8.8 LM	YE BANKS AND BRAES
97D	Genevan Psalter|Post, Marie J.	Music	God Reigns: Let Earth Rejoice!	Our God reigns let earth rejoice!	6.6.7.7.6.6.6.6.6	GENEVAN 97
97E	New Version of the Psalms of David, A (Nahum Tate, Nicholas Brady, rev. 1698)	Text	Sing to the LORD a New Made Song	Sing to the LORD a new made song	8.6.8.6 CM	N/A
98A	Dudley-Smith, Timothy	Text	Sing a New Song to the LORD	Sing a new song to the LORD	7.7.11.8	N/A
98B	Carlill, Adam	Music	Sing Afresh in All Creation	Sing afresh in all creation	8.7.8.7 D	IN BABILONE
98C	Watts, Isaac	Text	To Our Almighty Maker	To Our Almighty maker	8.6.8.6 CM	N/A
98D	Beethoven, Ludwig van|Book of Psalms for Worship, The (2010)	Music	Sing to Yahweh, Sing a New Song	Sing to Yahweh, sing a new song	8.7.8.7 D	ODE TO JOY
98E	English Metrical Psalter (A New Metrical Psalter, 1875)	Text	Sing a New Song unto the LORD	Sing a new song unto the LORD	8.6.8.6 CM	N/A
99A	Psalter Hymnal, The (1912)	Text	God Is King Forever	God is King forever: let the nations tremble	IRREGULAR	N/A
99B	Watts, Isaac	Text	The God Jehovah Reigns!	The God Jehovah reigns!	6.6.8.6 SM	N/A
99C	Gesangbuch der Herzogl. (Hofkapelle, Würtemberg)|Psalter Hymnal, The (1912)	Music	The LORD God Reigns in Majesty	The LORD Reigns in majesty	8.6.8.6 CMD	ELLACOMBE
99D	Lyte, Henry Francis	Text	Jehovah Reigns Enthroned in State	Jehovah reigns enthroned in state	8.8.8.8 LM	N/A
99E	Book of Psalms for Worship, The (2010)|Neander, Joachim	Music	Let the Nations Tremble	Let the nations tremble	6.6.8.6.6.8.6.6.6	ARNSBERG
99F	Psalter Hymnal, The (UPCNA, 1887)	Text	Jehovah Reigns Supreme	Jehovah reigns supreme	6.6.8.6 SM	N/A
100A	Watts, Isaac	Text	Ye Nations Round the Earth	Ye nations round the earth, rejoice	8.8.8.8 LM	N/A
100B	Book of Psalms for Worship, The (2010)|Ken, Thomas|Neander, Joachim	Music	All Earth With Joy	All the earth with joy, to the LORD come with loud voices	14.14.4.7.8	LOBE DEN HERREN
100C	Bourgeois, Louis|Kethe, William	Music	All People that On Earth Do Dwell	All people that on earth do dwell	8.8.8.8 LM	OLD HUNDREDTH
101A	Regier, David P.|Smart, Henry	Music	I Will Sing of Love and Justice	I will sing of love and justice	8.7.8.7.8.7	REGENT SQUARE
101B	Southern Harmony, The (William Walker)|Watts, Isaac	Music	Mercy and Judgement Are My Song	Mercy and judgement are my song	8.8.8.8 LM	PROSPECT
102A	Watts, Isaac	Text	Hear Me, O God, nor Hide Your Face	Hear me, O God, nor hide Your face	8.6.8.6 CM	N/A
102B	Psalter Hymnal, The (1912)|Wilbur, Gregory D.	Music	LORD, Hear My Prayer	LORD, hear my prayer and let my cry have ready access	8.8.8.8 LMD	NEW PSALM 102
102C	Lyte, Henry Francis	Text	It Comes, the Awful Hour	It comes, the awful hour	6.6.8.6 SM	N/A
102D	Book of Psalms for Worship, The (2010)	Music	Let This Be Written	Let this be written for the sake	8.8.8.8 LM	TEANN A NALL
103A	Mason, Benjamin|Mason, Lauren|Pennington, Sheila|Pennington, Tom	Music	With All My Soul, I'll Bless Your Name	With all my soul, I'll bless Your name forever	IRREGULAR	N/A
103B	Dever, Constance	Music	Come, O My Soul	Come, O my soul, bless the LORD	IRREGULAR	N/A
103C	Fournier, Dave|Zimmer, David	Music	Bless the LORD, O My Soul	My God is slow to anger when I go astray	IRREGULAR	N/A
104A	Columbian Harmony (William Moore)|Moore, William|Sing Psalms (2003)	Music	Praise the LORD	Praise the LORD, my soul, O praise Him	8.7.8.7 D	HOLY MANNA
104B	Kimbrough, Wendell	Music	Rejoice In All Your Works	Every mouth that cries for food	IRREGULAR	N/A
105A	Book of Psalms for Singing, The (1973)|Book of Psalms for Worship, The (2010)|Johnson's Tennessee Harmony|Wilbur, Gregory D.	Music	O Thank the LORD	O thank the LORD on His name call	8.6.8.6 CMD	CANAAN
105B	Sing Psalms (2003)	Music	Give Thanks to the LORD, God	Give thanks to the LORD God	11.11.11.11	STOWEY
106A	New Version of the Psalms of David, A (Nahum Tate, Nicholas Brady, rev. 1698)|Wilbur, Gregory D.	Music	O Render Thanks	O render thanks to God above	8.8.8.8 LMD	RENDER THANKS
107A	Kimbrough, Wendell	Music	Oh Give Thanks!	We were wand'ring in the desert	IRREGULAR	N/A
107B	Watts, Isaac	Text	From Age to Age	From age to age exalt His name	8.8.8.8 LM	N/A
108A	Sing Psalms (2003)	Music	O LORD God My Heart Is Steadfast	O LORD God my heart is steadfast	8.7.8.7 D	HOLY MANNA
108B	Moore, William|New Version of the Psalms of David, A (Nahum Tate, Nicholas Brady, rev. 1698)	Text	O God, My Heart is Fully Bent	O God, my heart is fully bent	8.6.8.6 CM	N/A
108C	Columbian Harmony (William Moore)|Lyte, Henry Francis|Sing Psalms (2003)	Text	My Heart Its God Would Sing	My heart its God would sing	6.6.8.6 SM	N/A
108D	Bannister, Brown|Holcomb, Ellie	Music	My Heart Is Steadfast	My heart is steadfast	IRREGULAR	N/A
108E	Psalter Hymnal, The (1912)	Text	My Heart Is Fixed, O God	My heart is fixed, O God	6.6.8.6 SM	N/A
109A	Lyte, Henry Francis	Text	Stranger and a Pilgrim	Stranger and a pilgrim here below	8.8.8.8 LM	N/A
109B	Watts, Isaac	Text	God of My Mercy and My Praise	God of my mercy and my praise	8.6.8.6 CM	N/A
109C	Baker, John Lawson|Sing Psalms (2003)	Music	O My God, Whose Name I Worship	O my God whose name I worship	8.7.8.7.8.7	CASTLEHYTHE
109D	Psalter Hymnal, The (1912)	Text	O God, Whom I Delight to Praise	O God, Whom I delight to praise	8.8.8.8 LM	N/A
110A	Gesangbuch der Herzogl. (Hofkapelle, Würtemberg)|Regier, David P.	Music	The LORD Declares Unto My Lord	The LORD declares unto my Lord	8.6.8.6 CMD	ELLACOMBE
110B	Sing Psalms (2003)|Williams, Aaron	Music	The LORD said to my Lord	The LORD said to my Lord	6.6.8.6 SM	ST. THOMAS
111A	Psalter Hymnal, The (1912)|Sacred Melodies (William Gardiner)	Music	O Give the LORD Wholehearted Praise	O give the LORD wholehearted praise	8.8.8.8 LM	GERMANY
111B	Grétry, Andre|Regier, David P.	Music	I Thank the LORD with All My Heart	I thank the LORD with all my heart	8.6.8.6 CMD	LANDÅS
112A	Psalter Hymnal, The (1987)|Webbe, Samuel	Music	How Bless'd Are those who Fear the LORD	How Bless'd are those who fear the LORD	8.8.8.8 LM	MELCOMBE
112B	Bourgeois, Louis|Sing Psalms (2003)	Music	Praise God!	Praise God! The man is blessed who fears the LORD	10.10.10.10	TOULON
112C	Scottish Metrical Psalter (1650)	Text	Praise Ye the LORD	Praise ye the LORD	8.6.8.6 CM	N/A
113A	Beethoven, Ludwig van|Regier, David P.	Music	Praise the LORD, His Servants	Praise the LORD His servants	8.7.8.7 D	ODE TO JOY
113B	Searles, Matt	Music	None Like You	The LORD is over the nations	IRREGULAR	N/A
113C	Psalter Hymnal, The (1912)	Text	Praise God, Ye Servants of the LORD	Praise God, ye servants of the LORD	8.8.8.8 LM	N/A
114A	Bradbury, William B.|Harmsel, Henrietta Ten	Music	When Israel Fled from Egypt Land	When Israel fled from Egypt land	8.8.8.8 LM	ANDRE
114B	Condy (Hudson), Lacy|Kauflin, Bob	Music	God Is Faithful	God brought out His people	IRREGULAR	N/A
114C	Watts, Isaac	Text	When Israel Out of Egypt Went	When Israel of Egypt went	8.8.8.8 LM	N/A
115A	Kroeger, Ernest R.|Psalter Hymnal, The (1912)	Music	Not Unto Us, O LORD of Heav'n	Not unto us, O LORD of heav'n	8.8.8.8.8.8	GAIRNEY BRIDGE
115B	Dudley-Smith, Timothy|Prichard, Rowland H.	Music	Not To Us Be Glory Given	Not to us be glory given	8.7.8.7 D	HYFRYDOL
116A	Monk, William H.|Regier, David P.|Trinity Psalter Hymnal OPC/URCNA, 2018	Music	I Love the LORD	I love the LORD, for He has heard my voice	10.10.10.10	EVENTIDE
117A	Montgomery, James	Text	All Ye Nations Praise the LORD	All ye nations, praise the LORD	7.7.7.7	N/A
117B	Spence, Robert|Watts, Isaac|Wilbur, Gregory D.	Music	From All That Dwell	From all that dwell below the skies	8.8.8.8 LM	EVERY LAND
117C	McKenna, Jered	Music	Praise the LORD all You Nations	Praise the LORD, all you nations	IRREGULAR	N/A
118A	Mant, Richard	Text	Thee, Jehovah, Will I Bless	Thee, Jehovah, will I bless	7.7.7.7	N/A
118B	Regier, David P.	Music	The Stone the Builders Once Refused	The stone the builders once refused	8.6.8.6 CM	AVON
118C	English Metrical Psalter (A New Metrical Psalter, 1875)	Text	O Praise the LORD!	O praise the LORD!	8.8.8.8 LM	N/A
119:1-8A	Psalter Hymnal, The (1912)	Text	How Bless'd the Perfect in the Way	How Bless'd the perfect in the way	8.8.8.8 LM	N/A
119:1-8B	Deans, Graham D.S.	Music	How Bless'd Are Those Whose Way Is Pure	How bless'd are those whose way is pure	8.6.8.6 CM	CREATOR GOD
119:1-8C	Hicks, Zac|Warren, Norman L.	Music	Blessed Are All (Only In Jesus)	Blessed are all whose path is blameless	IRREGULAR	N/A
119:9-16A	Scottish Metrical Psalter (1650)	Text	By What Means	By what means shall a young man learn	8.6.8.6 CM	N/A
119:9-16B	Lowndes, C.M. Motyer|Psalter Hymnal, The (1912)	Music	How Can the Way of Youth Be Pure	How can the way of youth be pure	8.8.8.8 LM	POYNTON
119:9-16C	Silver, Jason	Music	Pure	How can I keep my way pure	IRREGULAR	N/A
119:17-24A	Mant, Richard	Text	Smile on They Servant	Smile on Thy servant, bounteous LORD!	8.8.8.8 LM	N/A
119:17-24B	Knapp, William|Trinity Psalter Hymnal OPC/URCNA, 2018	Music	Do Good to Me and I Will Live	Do good to me and I will live	8.8.8.8 LM	WAREHAM
119:25-32A	Sing Psalms (2003)	Text	My Soul Is Laid Low	My soul is laid low in the dust	8.8.8.8 LM	N/A
119:25-32B	Book of Psalms for Worship, The (2010)|Bradbury, William B.	Music	My Soul Clings to the Dust	My soul clings to the dust revive	8.8.8.8 LM	OLIVE'S BROW
119:33-40A	Scottish Metrical Psalter (1650)	Text	Teach Me, O LORD	Teach me, O LORD, the perfect way	8.6.8.6 CM	N/A
119:33-40B	Psalter Hymnal, The (1912)|Holbrook, Joseph P.	Music	Teach Me, O LORD, Your Way of Truth	Teach me, O LORD, Your way of truth	8.8.8.8 LM	BISHOP
119:41-48A	Scottish Metrical Psalter (1650)	Text	Let Thy Sweet Mercies Also Come	Let Thy sweet mercies also come	8.6.8.6 CM	N/A
119:41-48B	Book of Psalms for Worship, The (2010)|Leslie, C.E.	Music	O Let Your Lovingkindnesses Now Come	O let Your Lovingkindnesses now come to me	8.6.8.6 CM	CITY OF OUR GOD
119:49-56A	Mant, Richard	Text	Thy Word Remember	Thy word remember, O my God!	8.8.8.8 LM	N/A
119:49-56B	Barnby, Joseph|Sing Psalms (1997)	Music	Remember What You Said to Me	Remember what You said to me Your servant	11.10.11.10	PERFECT LOVE
119:57-64A	Psalter Hymnal, The (1912)	Text	You Are My Portion, LORD	You are my portion, LORD	6.6.8.6 SM	N/A
119:57-64B	Macdonald, Evan G.|Trinity Psalter Hymnal OPC/URCNA, 2018	Music	You, LORD, Are the Portion	You, LORD, are the portion that I long for	10.9.10.9	BOWERSBURN
119:65-72A	Psalter Hymnal, The (1912)	Text	Thou, LORD, Have Dealt Well	Thou, LORD, have dealt well with Thy servant	9.8.9.8	N/A
119:65-72B	Allen, George N.|Book of Psalms for Worship, The (2010)	Music	According to Your Word, O LORD	According to Your Word, O LORD	8.6.8.6 CM	MAITLAND
119:73-80A	English Metrical Psalter (A New Metrical Psalter, 1875)	Text	Thy Hands Have Made and Fashion'd Me	Thy hands have made and fashion'd me	8.8.8.8 LM	N/A
119:73-80B	Book of Psalms for Worship, The (2010)|Monk, William H.	Music	Your Hands Created and Established Me	Your hands created and established me	10.10.10.10	EVENTIDE
119:81-88A	English Metrical Psalter (A New Metrical Psalter, 1875)	Text	My Soul Does for Salvation Long	My soul does for salvation long	8.8.8.8 LM	N/A
119:81-88B	Greatorex, Henry W.|Psalter Hymnal, The (1912)	Music	My Soul for Thy Salvation Faints	My soul for Thy salvation faints	8.6.8.6 CM	MANOAH
119:89-96A	Psalter Hymnal, The (1912)	Text	Forever Settled In the Heavens	Forever settled in the heavens	8.8.8.8 LM	N/A
119:89-96B	Nederlandtsch Gedenckclank|Regier, David P.	Music	Forever Your Word Is Established	Forever Your Word is established	12.11.12.11	KREMSER
119:97-104A	Mant, Richard	Text	How Dear, O LORD	How dear, O LORD, Thy law I deem	8.8.8.8 LM	N/A
119:97-104B	Bourgeois, Louis|Trinity Psalter Hymnal OPC/URCNA, 2018	Music	O How I Love Your Holy Law	O how I love Your holy law	10.10.10.10	TOULON
119:105-112A	Mant, Richard	Text	Thy Word Is to My Feet a Lamp	Thy word is to my feet a lamp	8.6.8.6 CM	N/A
119:105-112B	Psalter Hymnal, The (1912)|Schumann, Robert	Music	Your Words Sheds Light Upon My Path	Your words sheds light upon my path	8.8.8.8 LM	CANONBURY
119:113-120A	Psalter Hymnal, The (1912)	Text	Deceit and Falsehood I Abhor	Deceit and falsehood I abhor	8.8.8.8.8.8	N/A
119:113-120B	Regier, David P.|Williams, Aaron	Music	I Love Your Perfect Law	I love Your perfect law	6.6.8.6 SM	ST. THOMAS
